------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.6987,77.9501,88.5164,0,0,0,0
1,16,283083,44,1,79.1868,91.1572,1.56197e-006,0.000354596,90.3238,8.81722,1.14091e-011
2,1,0,44,1,80.964,75.7972,89.7472,0,0,0,0
2,16,263081,44,1,89.896,73.031,1.11191e-006,0.000384529,84.0756,-1.82274,8.22385e-012
3,1,0,44,1,80.2284,77.2241,87.5841,0,0,0,0
3,16,294759,44,1,83.6603,84.936,6.30854e-007,0.000335633,87.6448,5.22966,1.1242e-011
4,1,0,44,1,80.0422,76.4101,88.8642,0,0,0,0
4,16,273895,44,1,82.0607,78.218,9.78307e-007,0.00036473,88.6271,1.21296,1.90908e-011
5,1,0,44,1,78.5415,77.0376,89.9427,0,0,0,0
5,16,261376,44,1,69.1856,83.5822,4.69123e-007,0.000388642,96.1514,4.29964,3.10941e-011
6,1,0,44,1,79.1556,74.9243,90.3539,0,0,0,0
6,16,255256,44,1,74.4229,65.5543,8.34479e-007,0.00039918,93.0972,-6.13815,1.93969e-011
7,1,0,44,1,79.4979,75.595,87.9675,0,0,0,0
7,16,287602,44,1,77.5455,71.4474,5.52169e-007,0.000344473,91.3019,-2.80442,2.76849e-011
8,1,0,44,1,79.1282,77.979,86.2837,0,0,0,0
8,16,319185,44,1,74.6122,91.0536,1.24361e-006,0.000307799,93.0971,8.9497,9.52567e-012
9,1,0,44,1,79.1844,77.6913,88.5854,0,0,0,0
9,16,281340,44,1,74.8334,88.9796,3.91179e-008,0.000356565,92.9032,7.53688,2.64072e-011
10,1,0,44,1,77.7621,76.3995,86.5353,0,0,0,0
10,16,315824,44,1,63.1457,78.1059,1.64716e-008,0.000312337,99.9527,1.15937,1.06039e-011
11,1,0,44,1,81.0187,77.6371,89.2563,0,0,0,0
11,16,272775,44,1,90.3824,88.6222,1.03858e-006,0.000371238,83.7573,7.24726,1.71664e-011
12,1,0,44,1,79.1109,77.7328,88.8596,0,0,0,0
12,16,277570,44,1,74.1783,89.3679,6.72292e-007,0.000362614,93.2829,7.73838,3.24944e-011
13,1,0,44,1,79.9791,77.3231,90.4015,0,0,0,0
13,16,253869,44,1,81.4809,86.0218,4.10388e-007,0.000400911,88.9919,5.70798,2.67766e-011
14,1,0,44,1,79.8081,77.0123,87.5247,0,0,0,0
14,16,294769,44,1,80.1575,83.1619,1.81206e-006,0.000334855,89.7409,4.18142,1.44822e-011
15,1,0,44,1,79.2845,77.2076,87.5261,0,0,0,0
15,16,295636,44,1,75.8001,84.7928,1.45605e-006,0.000334442,92.3506,5.14758,2.22432e-011
16,1,0,44,1,78.6692,75.7873,86.0021,0,0,0,0
16,16,320469,44,1,70.8827,73.102,5.74853e-007,0.00030376,95.364,-1.85148,2.78907e-011
17,1,0,44,1,80.7737,74.9712,90.514,0,0,0,0
17,16,253653,44,1,88.3474,65.9068,1.16005e-006,0.000402875,85.0126,-5.91486,2.34198e-011
18,1,0,44,1,78.6905,74.8643,86.7207,0,0,0,0
18,16,310848,44,1,70.8896,65.4383,9.24635e-008,0.000316833,95.3281,-6.42392,7.96088e-012
19,1,0,44,1,78.5783,74.8171,86.9696,0,0,0,0
19,16,307311,44,1,69.9116,65.0132,8.49261e-007,0.000321619,95.9007,-6.65354,3.09687e-011
20,1,0,44,1,79.0727,77.2718,90.4679,0,0,0,0
20,16,253481,44,1,73.6947,85.6124,5.47549e-007,0.000402209,93.5154,5.4607,2.43012e-011
21,1,0,44,1,78.2605,77.1576,88.2327,0,0,0,0
21,16,287513,44,1,67.0556,84.4844,1.65346e-006,0.000348253,97.5051,4.89386,1.94457e-011
22,1,0,44,1,79.1586,76.4078,86.4912,0,0,0,0
22,16,310960,44,1,74.8692,78.162,6.50768e-007,0.000313877,92.9336,1.20927,1.67667e-011
23,1,0,44,1,78.5562,75.4364,87.0131,0,0,0,0
23,16,304797,44,1,69.7648,70.1637,1.0652e-006,0.000323324,95.9819,-3.58621,3.63831e-011
24,1,0,44,1,77.8936,75.6363,86.2255,0,0,0,0
24,16,320485,44,1,64.3409,71.8188,2.12543e-009,0.000306522,99.2743,-2.60232,9.61121e-012
25,1,0,44,1,80.2806,76.0264,88.676,0,0,0,0
25,16,276793,44,1,84.0754,75.0104,1.29748e-006,0.000360386,87.4323,-0.679737,1.67041e-011
26,1,0,44,1,79.1819,78.295,86.0896,0,0,0,0
26,16,324304,44,1,75.0658,93.6783,4.42178e-007,0.000303322,92.828,10.5228,2.68711e-011
27,1,0,44,1,78.3627,76.0047,86.5046,0,0,0,0
27,16,313014,44,1,68.2502,74.8587,6.60302e-007,0.000313198,96.9172,-0.782306,2.14258e-011
28,1,0,44,1,80.0197,74.7347,89.2948,0,0,0,0
28,16,270176,44,1,81.8815,64.0757,2.65635e-007,0.000373326,88.7384,-7.06877,1.94038e-011
29,1,0,44,1,77.9754,75.6713,86.8563,0,0,0,0
29,16,309556,44,1,64.8907,72.0795,8.9788e-007,0.000319145,98.8916,-2.43265,1.09354e-011
30,1,0,44,1,81.4641,76.5422,90.4389,0,0,0,0
30,16,255354,44,1,94.2797,79.3701,1.16144e-006,0.000400511,81.6082,1.84211,2.14864e-011
31,1,0,44,1,80.8224,75.7817,88.5925,0,0,0,0
31,16,279326,44,1,88.6438,72.9536,7.11114e-007,0.000357756,84.7352,-1.89094,1.63556e-011
32,1,0,44,1,79.2668,76.1301,87.3659,0,0,0,0
32,16,296582,44,1,75.6789,75.8897,7.24313e-007,0.000331875,92.4258,-0.161976,2.72646e-011
33,1,0,44,1,79.6363,75.5597,86.3897,0,0,0,0
33,16,312589,44,1,78.8016,71.2446,8.74088e-007,0.000311869,90.5546,-2.97347,7.64916e-012
34,1,0,44,1,80.207,77.9632,90.547,0,0,0,0
