case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
active35_soft,0.35,6.0,3.0,1,7.906999999991967,-726.0340576171875,-758.0486450195312,776.055908203125,-200.628662109375,-161.5941162109375,-980.4805908203125,-347.31768798828125,-99.81866455078125,0.3506336212158203,1.001997709274292,5.995630264282227,2.9967265129089355,0.544,1.0,4.99685175,3.02678764,9.71600262,272,272,0,0.5153
active35_soft,0.35,6.0,3.0,2,7.4060000000026776,-735.7392578125,-749.4400024414062,777.318603515625,-180.96405029296875,-145.11627197265625,-924.5691528320312,-396.69647216796875,-165.8800048828125,0.35172781348228455,1.0021202564239502,6.02163553237915,2.989703893661499,0.472,1.0,4.46943672,2.34237433,8.56756629,236,236,0,0.4629
active50_mid,0.5,5.0,2.5,1,8.234000000011292,-867.6433715820312,-707.0393676757812,146.18115234375,118.49560546875,114.50927734375,-427.1806640625,148.25341796875,-103.112548828125,0.5006675720214844,0.9944485425949097,5.058243274688721,2.4531707763671875,0.778,1.0,3.03835869,1.15054047,4.55991951,389,389,0,0.778
active50_mid,0.5,5.0,2.5,2,7.3439999999973224,-709.9318237304688,-865.2669677734375,890.978515625,-162.74072265625,-136.125244140625,-911.1890258789062,-309.51910400390625,61.616455078125,0.5024359822273254,1.0005258321762085,5.030829429626465,2.463791608810425,0.576,1.0,4.84182186,2.4699746,9.05389648,288,288,0,0.5585
active65_mid,0.65,4.5,2.0,1,7.5939999999973224,-894.4442138671875,-910.2122802734375,915.89501953125,-160.28118896484375,-130.03338623046875,-903.7688598632812,-187.89013671875,-15.67333984375,0.6496220827102661,1.000602126121521,4.492806434631348,2.0287249088287354,0.69,1.0,4.40001237,2.43746607,8.0412513,345,345,0,0.6823
active65_mid,0.65,4.5,2.0,2,7.937999999994645,-629.6471557617188,-922.64404296875,891.2369384765625,-49.2860107421875,-33.42755126953125,-692.1578979492188,-466.20819091796875,-73.95367431640625,0.6483006477355957,0.9992060661315918,4.463873386383057,2.0193867683410645,0.636,1.0,4.35488368,1.88222178,7.47293126,318,318,0,0.6269
active80_good,0.8,3.5,1.6,1,8.328999999997905,-873.2133178710938,-773.2353515625,657.833251953125,-45.18792724609375,-47.00054931640625,-727.7988891601562,-159.55328369140625,-154.85009765625,0.8000526428222656,1.0008236169815063,3.501404285430908,1.6060173511505127,0.788,1.0,3.0039513,1.31902305,5.56910237,394,394,0,0.788
active80_good,0.8,3.5,1.6,2,7.561999999990803,-786.5744018554688,-878.5453491210938,918.0997314453125,-121.0889892578125,-152.37359619140625,-899.40771484375,-352.9713134765625,-4.09161376953125,0.8013859987258911,0.9989267587661743,3.502002716064453,1.6148335933685303,0.736,1.0,3.16105388,1.28600356,5.52663243,368,368,0,0.736
active92_good,0.92,2.8,1.2,1,7.9060000000026776,-843.1585693359375,-807.3281860351562,640.0147705078125,33.0423583984375,-2.51824951171875,-610.8806762695312,-1.44024658203125,-173.2191162109375,0.9215655326843262,1.0012247562408447,2.826080083847046,1.189744472503662,0.926,1.0,2.57338233,0.987918231,4.13343209,463,463,0,0.926
active92_good,0.92,2.8,1.2,2,7.9689999999973224,-824.1864013671875,-918.3751220703125,874.2125244140625,-15.78985595703125,-11.50518798828125,-666.3406982421875,-340.400634765625,-51.48291015625,0.9201434850692749,0.9989346265792847,2.775805950164795,1.2256470918655396,0.92,1.0,3.02615494,1.52017212,5.59592708,460,460,0,0.92
active99_tight,0.99,2.1,0.9,1,10.031000000002678,-890.7509155273438,-879.4228515625,800.339111328125,-4.175048828125,-54.600830078125,-715.9049072265625,-291.7677001953125,-163.37945556640625,0.9919255971908569,0.9991996884346008,2.106745481491089,0.9333175420761108,1.0,1.0,2.29278851,0.894769274,3.70325118,500,500,0,1.0
active99_tight,0.99,2.1,0.9,2,9.656000000002678,-869.036376953125,-887.0350341796875,773.7862548828125,14.1190185546875,-34.708251953125,-675.3236083984375,-209.12640380859375,-143.612060546875,0.9904529452323914,0.9995909929275513,2.1460366249084473,0.9716199040412903,1.0,1.0,2.30022052,0.921136742,3.80239774,500,500,0,1.0
