case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
t45,0.45,5.0,2.5,1,7.89100000000326,-873.5304565429688,-932.2859497070312,914.2421875,-65.60443115234375,-47.85791015625,-678.0377197265625,430.747802734375,-253.74334716796875,0.4517148435115814,0.9969481229782104,5.046304702758789,2.4953739643096924,0.536,1.0,3.47076092,1.90715064,6.672095,268,268,0,0.5255
t45,0.45,5.0,2.5,2,7.844000000011874,-879.1448974609375,-931.8258666992188,899.3037109375,-66.40093994140625,-45.68267822265625,-679.3224487304688,432.9315185546875,-243.389892578125,0.4519575238227844,0.9967173337936401,5.0516862869262695,2.4935951232910156,0.58,1.0,3.16454213,1.64698354,6.30183256,290,290,0,0.5758
t45,0.45,5.0,2.5,3,6.98499999998603,-915.0017700195312,-982.2822875976562,879.027587890625,55.0645751953125,-250.9561767578125,-850.4622192382812,2.25018310546875,-63.02081298828125,0.4445454478263855,1.000786542892456,4.984256744384766,2.5138323307037354,0.16,1.0,7.56752192,0.905583058,8.87496962,80,80,0,0.16
t50,0.5,5.0,2.5,1,7.828000000008615,-858.9131469726562,-959.9833374023438,899.7578125,-73.1680908203125,-57.10723876953125,-701.8480224609375,219.4825439453125,-427.881103515625,0.4998819828033447,1.0013436079025269,4.987002849578857,2.495892286300659,0.558,1.0,4.84468809,2.82895167,9.59324204,279,279,0,0.5208
t50,0.5,5.0,2.5,2,7.797000000020489,-857.2498779296875,-960.9209594726562,900.1756591796875,-73.45751953125,-57.163330078125,-701.8657836914062,213.5855712890625,-428.19415283203125,0.49722057580947876,1.0013744831085205,4.988399505615234,2.4867684841156006,0.536,1.0,5.03541918,2.66551969,9.56472113,268,268,0,0.5051
t50,0.5,5.0,2.5,3,8.969000000011874,-831.821044921875,-999.9838256835938,908.67578125,-85.42462158203125,-89.7786865234375,-741.3298950195312,-434.92877197265625,-274.56805419921875,0.5009599328041077,0.9949728846549988,4.9967169761657715,2.4911274909973145,0.45,1.0,4.56115624,1.65538348,7.49027978,225,225,0,0.4386
t55,0.55,5.0,2.5,1,7.98499999998603,-858.6875610351562,-999.9828491210938,884.3880615234375,-86.1807861328125,-94.30426025390625,-756.1221923828125,-405.17498779296875,-263.71881103515625,0.5494529008865356,0.9960466623306274,4.985418796539307,2.509531259536743,0.506,1.0,4.99514138,1.71431328,7.78841366,253,253,0,0.4807
t55,0.55,5.0,2.5,2,7.75,-848.1079711914062,-999.9300537109375,905.143798828125,-79.24749755859375,-66.9595947265625,-724.8350830078125,96.864013671875,-428.799560546875,0.5503785610198975,1.0025684833526611,4.993034839630127,2.4863131046295166,0.588,1.0,5.32792512,2.56245278,10.1310981,294,294,0,0.5628
t55,0.55,5.0,2.5,3,7.73399999999674,-847.9586791992188,-999.9015502929688,906.6636962890625,-79.32086181640625,-66.90478515625,-724.6083984375,93.6551513671875,-429.26837158203125,0.549720823764801,1.0025739669799805,4.995482444763184,2.4845645427703857,0.586,1.0,5.33346633,2.68591523,10.1072951,293,293,0,0.551
t60,0.6,5.0,2.5,1,7.765999999974156,-868.47021484375,-999.9710083007812,935.2513427734375,-86.5618896484375,-85.0916748046875,-750.5114135742188,25.150146484375,-414.58282470703125,0.6015249490737915,1.0017162561416626,4.998387336730957,2.4742603302001953,0.614,1.0,5.46356054,2.49399735,9.95963189,307,307,0,0.5778
