case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
fix50,0.5,5.0,2.5,1,7.48399999999674,-766.17529296875,-784.1967163085938,871.0538330078125,-173.69873046875,-135.39990234375,-926.6973876953125,-279.1192626953125,107.5740966796875,0.5008457899093628,1.0037124156951904,5.039289951324463,2.4560019969940186,0.536,1.0,5.48145754,2.99690122,9.94352886,268,268,0,0.5498
fix50,0.5,5.0,2.5,2,7.421999999991385,-906.068603515625,-629.5240478515625,145.7587890625,89.007080078125,208.2017822265625,-463.15631103515625,165.9088134765625,-149.14056396484375,0.5004443526268005,1.0013707876205444,5.071793079376221,2.427523612976074,0.194,1.0,9.90680762,2.85958711,13.4117456,97,97,0,0.2183
fix50,0.5,5.0,2.5,3,7.4060000000026776,-986.3364868164062,-587.6279907226562,91.03955078125,83.764892578125,209.27001953125,-488.9779052734375,67.181884765625,-214.5838623046875,0.49794888496398926,0.9999722242355347,5.053844451904297,2.4678287506103516,0.166,1.0,9.38113089,2.67900566,13.7774113,83,83,0,0.2153
fix50,0.5,5.0,2.5,4,6.9060000000026776,-450.7178955078125,-864.7638549804688,795.949951171875,32.5655517578125,15.1827392578125,-516.7210693359375,-991.2953491210938,-441.90460205078125,0.5009452700614929,0.9960249662399292,5.0391316413879395,2.4623630046844482,0.272,1.0,6.55536144,4.4493166,13.2536611,136,136,0,0.2884
fix65,0.65,4.5,2.0,1,7.514999999999418,-780.989990234375,-999.9606323242188,873.333251953125,-77.131103515625,-57.223876953125,-727.1923217773438,-94.4276123046875,-151.048095703125,0.6499635577201843,1.0033055543899536,4.4890642166137695,2.024575710296631,0.57,1.0,4.16000017,1.9328829,7.32930738,285,285,0,0.5644
fix65,0.65,4.5,2.0,2,7.389999999999418,-780.033447265625,-999.971923828125,874.48974609375,-80.4876708984375,-61.01812744140625,-734.21435546875,-91.3895263671875,-142.19561767578125,0.6498740911483765,1.0032336711883545,4.487496376037598,2.025569438934326,0.542,1.0,4.26257726,1.86337784,7.20545685,271,271,0,0.5378
fix65,0.65,4.5,2.0,3,7.311999999990803,-779.9871826171875,-999.975830078125,874.315673828125,-80.93890380859375,-61.52001953125,-735.1900634765625,-91.0001220703125,-141.11724853515625,0.649854302406311,1.0032241344451904,4.487220287322998,2.025832414627075,0.576,1.0,4.12648518,1.84243269,6.96362471,288,288,0,0.5704
fix65,0.65,4.5,2.0,4,7.453000000008615,-773.9890747070312,-999.93603515625,892.855224609375,-87.87396240234375,-69.76422119140625,-748.537353515625,-89.64404296875,-111.46990966796875,0.650027334690094,1.0030200481414795,4.4863691329956055,2.0242786407470703,0.61,1.0,4.04575915,1.7974391,6.98053139,305,305,0,0.6072
fix80,0.8,3.5,1.6,1,8.860000000000582,-746.94189453125,-968.3546752929688,882.9881591796875,-22.0364990234375,-18.4927978515625,-660.3270263671875,-316.4427490234375,-96.17999267578125,0.7996548414230347,1.000428557395935,3.4960098266601562,1.6141325235366821,0.798,1.0,3.29169209,1.66299496,6.10502124,399,399,0,0.798
fix80,0.8,3.5,1.6,2,7.639999999999418,-737.48828125,-980.6716918945312,840.977294921875,-26.61322021484375,-38.38739013671875,-693.34130859375,-323.24224853515625,-148.133056640625,0.8006173968315125,0.9999914169311523,3.4843010902404785,1.6285597085952759,0.76,1.0,3.43204179,1.63567022,6.25940414,380,380,0,0.7572
fix80,0.8,3.5,1.6,3,7.436999999990803,-745.2650146484375,-993.8009033203125,907.615234375,-23.660888671875,-18.61822509765625,-660.7770385742188,-334.616943359375,-78.79168701171875,0.8003175854682922,1.0003716945648193,3.489028215408325,1.6337999105453491,0.76,1.0,3.4211481,1.82196876,6.41748463,380,380,0,0.7593
fix80,0.8,3.5,1.6,4,7.703000000008615,-734.123046875,-999.93798828125,883.8895263671875,-39.25836181640625,-55.21514892578125,-720.195068359375,-309.02679443359375,-118.82000732421875,0.8007837533950806,0.999413013458252,3.484492778778076,1.630135178565979,0.748,1.0,3.44004624,1.74253805,6.61508609,374,374,0,0.7396
