case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
fix50b,0.5,5.0,2.5,1,8.26600000000326,-778.8759155273438,-808.92529296875,798.8521728515625,-172.7186279296875,-129.6409912109375,-903.2909545898438,-546.5379638671875,66.3681640625,0.49981755018234253,0.9984785914421082,5.02532958984375,2.459561824798584,0.502,1.0,4.65815706,2.73612133,9.34700723,251,251,0,0.481
fix50b,0.5,5.0,2.5,2,7.64100000000326,-911.7291870117188,-875.6261596679688,768.8236083984375,20.60174560546875,-254.9945068359375,-809.5302734375,31.009521484375,-121.1016845703125,0.50139319896698,1.0178024768829346,5.018187046051025,2.4864678382873535,0.63,1.0,2.91781262,1.33057124,5.50790538,315,315,0,0.63
fix50b,0.5,5.0,2.5,3,7.5789999999979045,-762.994140625,-725.7867431640625,922.4056396484375,-196.79638671875,-168.74053955078125,-958.8291625976562,-412.29248046875,-73.4036865234375,0.4996006488800049,1.001121163368225,4.960896968841553,2.547140598297119,0.498,1.0,4.34353437,2.04394841,8.0213862,249,249,0,0.4938
fix50b,0.5,5.0,2.5,4,8.218999999997322,-421.00958251953125,-704.494384765625,861.783447265625,123.164794921875,141.300537109375,-306.0750732421875,-412.71795654296875,-37.22015380859375,0.5008281469345093,0.9831965565681458,4.985261917114258,2.4777491092681885,0.42,1.0,3.68869644,2.15480088,7.33841289,210,210,0,0.4174
fix50b,0.5,5.0,2.5,5,7.9060000000026776,-862.1775512695312,-859.7132568359375,721.94677734375,30.74853515625,-257.7657470703125,-793.8731079101562,51.8941650390625,-218.3408203125,0.4990043640136719,1.0145381689071655,5.030370235443115,2.4710545539855957,0.508,1.0,3.33415913,1.52478081,6.11377505,254,254,0,0.508
fix50b,0.5,5.0,2.5,6,7.60899999999674,-756.7174682617188,-780.83447265625,926.549560546875,-200.93218994140625,-167.97796630859375,-956.6967163085938,-444.9669189453125,-83.08074951171875,0.5011281967163086,0.9994714856147766,4.9564690589904785,2.5482122898101807,0.514,1.0,4.40989177,2.09201076,7.90280322,257,257,0,0.5098
fix65b,0.65,4.5,2.0,1,8.594000000011874,-943.1761474609375,-671.9995727539062,235.028564453125,97.4827880859375,130.4571533203125,-462.69964599609375,101.8065185546875,-196.29034423828125,0.6494913697242737,1.0094707012176514,4.508084297180176,1.9915781021118164,0.832,1.0,4.99272109,2.50798448,9.75419797,416,416,0,0.9146
fix65b,0.65,4.5,2.0,2,7.953000000008615,-577.0906372070312,-772.0169677734375,527.4122314453125,96.046875,146.9635009765625,-382.14263916015625,-453.33880615234375,233.3726806640625,0.6501142382621765,0.983923614025116,4.525662422180176,2.0143883228302,0.42,1.0,8.17950087,6.25582292,22.6344487,210,210,0,0.4933
fix65b,0.65,4.5,2.0,3,7.905999999988126,-577.6273193359375,-771.7173461914062,526.9844970703125,96.1258544921875,146.875244140625,-382.38568115234375,-453.25054931640625,235.3460693359375,0.6506060361862183,0.9838455319404602,4.511464595794678,2.008594036102295,0.424,1.0,7.6789813,6.10107154,23.6706153,212,212,0,0.4978
fix65b,0.65,4.5,2.0,4,7.73499999998603,-728.05810546875,-725.5598754882812,955.070556640625,-146.56427001953125,-168.40496826171875,-934.650634765625,-230.95709228515625,5.889404296875,0.6498143076896667,1.0008981227874756,4.48710298538208,2.010647773742676,0.686,1.0,4.18713295,1.74293214,7.05665431,343,343,0,0.686
fix65b,0.65,4.5,2.0,5,7.76500000001397,-878.914794921875,-979.640869140625,913.98681640625,-69.5877685546875,-56.21331787109375,-714.05224609375,-16.6217041015625,-242.60174560546875,0.6478215456008911,0.9991351366043091,4.448940753936768,2.035379409790039,0.614,1.0,4.30389938,2.01068271,7.44283936,307,307,0,0.6056
fix65b,0.65,4.5,2.0,6,8.187999999994645,-540.7720336914062,-757.0661010742188,658.7078857421875,103.0433349609375,147.4755859375,-368.58209228515625,-482.34686279296875,146.60888671875,0.64887535572052,0.992558479309082,4.502813339233398,2.0139029026031494,0.56,1.0,7.12249265,3.67320554,13.5659079,280,280,0,0.538
