case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
low20,0.2,8.0,4.5,1,17.70300000000134,-715.091552734375,-834.123779296875,674.7176513671875,66.794189453125,16.7332763671875,-929.3403930664062,42.23193359375,-337.392333984375,0.20084135234355927,0.9969093203544617,7.995366096496582,4.492006778717041,0.36,1.0,7.01386277,4.98284249,17.0659816,180,180,0,0.3392
low20,0.2,8.0,4.5,2,9.78099999999904,-716.6358642578125,-833.5704956054688,669.5396728515625,65.0540771484375,16.08502197265625,-933.4674072265625,38.696533203125,-341.0166015625,0.200962632894516,0.9968859553337097,7.9952592849731445,4.491914749145508,0.342,1.0,6.03099522,5.27118433,17.99003,171,171,0,0.3374
low20,0.2,8.0,4.5,3,9.875,-717.031005859375,-832.3956909179688,658.142578125,64.5732421875,16.0360107421875,-934.9775390625,36.552734375,-346.736328125,0.2010781317949295,0.9970348477363586,7.995115756988525,4.492182731628418,0.34,1.0,6.6072018,5.17522862,16.0766401,170,170,0,0.3275
low20,0.2,8.0,4.5,4,9.343999999999141,-723.153564453125,-828.5225219726562,626.009521484375,59.9227294921875,14.898193359375,-945.9907836914062,27.85595703125,-369.9739990234375,0.2017550766468048,0.9972189664840698,7.998207092285156,4.4906721115112305,0.364,1.0,7.02811478,5.53133262,17.9686351,182,182,0,0.3448
low20,0.2,8.0,4.5,5,9.203000000001339,-738.5189208984375,-946.9105834960938,653.3302001953125,-126.559814453125,90.0157470703125,-665.003173828125,406.2498779296875,-577.0047607421875,0.1977149248123169,0.999799370765686,7.979739189147949,4.5163960456848145,0.274,1.0,5.17429644,3.52742865,9.64923426,137,137,0,0.3101
low20,0.2,8.0,4.5,6,8.0,-741.9559326171875,-725.5111083984375,504.7060546875,123.15966796875,88.7003173828125,-757.0045776367188,387.6546630859375,-395.28961181640625,0.20070569217205048,0.9934260249137878,8.014669418334961,4.4857025146484375,0.298,1.0,6.98630405,7.00525839,30.4366685,149,149,0,0.3313
low20,0.2,8.0,4.5,7,7.3289999999997235,-726.575927734375,-934.231201171875,625.3197021484375,-93.3812255859375,84.750244140625,-629.9783935546875,339.198486328125,-485.71484375,0.1980506181716919,1.0007898807525635,7.991694450378418,4.498068809509277,0.36,1.0,4.94910855,3.0539022,8.71948543,180,180,0,0.3598
low20,0.2,8.0,4.5,8,7.125,-731.5909423828125,-732.791259765625,517.963134765625,127.4171142578125,87.7366943359375,-748.765380859375,391.875,-394.9124755859375,0.20083963871002197,0.9921585321426392,8.013693809509277,4.4864397048950195,0.322,1.0,7.87345793,7.14497375,29.1334127,161,161,0,0.3255
low20,0.2,8.0,4.5,9,7.5,-835.7255859375,-617.7141723632812,144.3939208984375,-36.395751953125,54.2725830078125,-712.3071899414062,-39.7596435546875,-830.2052001953125,0.20269255340099335,0.9900930523872375,8.018064498901367,4.490777492523193,0.238,1.0,8.15706829,2.24125925,11.6096715,119,119,0,0.3584
low20,0.2,8.0,4.5,10,7.28099999999904,-758.2459106445312,-714.69873046875,484.9114990234375,116.74560546875,91.1484375,-768.4569091796875,389.650634765625,-400.32806396484375,0.2002246081829071,0.9949701428413391,7.993520259857178,4.500540733337402,0.292,1.0,5.79966726,4.63341218,11.8035227,146,146,0,0.3297
