case,target_active,target_theta_mean,target_theta_sigma,rank,elapsed_seconds,V3,V6,V9,V10,V11,V12,V15,V18,pred_active,pred_forward,pred_theta_mean,pred_theta_sigma,sim_active,sim_forward,sim_theta_mean,sim_theta_sigma,sim_theta_p95,sim_n_active,sim_n_forward,sim_n_backward,sim_bpm_score
v40,0.4,5.5,2.8,1,9.937999999999874,-897.4801635742188,-950.9605712890625,776.1376953125,-65.94696044921875,-35.8551025390625,-683.55322265625,388.753173828125,-402.84600830078125,0.3983449935913086,0.9939296841621399,5.470799446105957,2.794698715209961,0.52,1.0,4.3453047,2.63431327,9.05196948,260,260,0,0.4857
v40,0.4,5.5,2.8,2,8.047000000000025,-893.4030151367188,-950.8478393554688,791.89404296875,-67.93017578125,-38.0552978515625,-685.8626708984375,385.0418701171875,-409.07861328125,0.3985596299171448,0.9946235418319702,5.473753452301025,2.7929413318634033,0.578,1.0,4.43519752,2.67470167,9.39605232,289,289,0,0.5423
v40,0.4,5.5,2.8,3,8.093999999999824,-655.349609375,-842.148681640625,403.433349609375,211.9566650390625,215.4056396484375,-339.67333984375,-910.8645629882812,-532.6605834960938,0.4043514132499695,0.9866805076599121,5.498782634735107,2.8507957458496094,0.728,1.0,6.57630561,5.06030367,17.683174,364,364,0,0.7124
v45,0.45,5.0,2.5,1,7.938000000000102,-873.5304565429688,-932.2859497070312,914.2421875,-65.60443115234375,-47.85791015625,-678.0377197265625,430.747802734375,-253.74334716796875,0.4517148435115814,0.9969481229782104,5.046304702758789,2.4953739643096924,0.554,1.0,3.24361569,1.66973988,6.32774914,277,277,0,0.5505
v45,0.45,5.0,2.5,2,8.202999999999975,-879.1448974609375,-931.8258666992188,899.3037109375,-66.40093994140625,-45.68267822265625,-679.3224487304688,432.9315185546875,-243.389892578125,0.4519575238227844,0.9967173337936401,5.0516862869262695,2.4935951232910156,0.526,1.0,3.28996811,1.65394042,6.36752147,263,263,0,0.5204
v45,0.45,5.0,2.5,3,7.641000000000076,-790.7606201171875,-999.98046875,919.359619140625,-87.511474609375,-89.46624755859375,-735.5665283203125,-418.91864013671875,-313.42474365234375,0.45135849714279175,0.9924432635307312,5.0016093254089355,2.4825081825256348,0.474,1.0,4.58464974,1.86386696,7.69274047,237,237,0,0.4613
v50,0.5,5.0,2.5,1,8.0,-868.8861083984375,-939.6798706054688,921.8538818359375,42.233154296875,-124.9461669921875,-866.0501098632812,-53.6461181640625,-253.7386474609375,0.49968281388282776,0.9995018839836121,5.012836456298828,2.5119831562042236,0.5,1.0,4.41011703,1.75558742,6.03530109,250,250,0,0.5006
v50,0.5,5.0,2.5,2,7.813000000000102,-871.8935546875,-937.6591796875,926.6663818359375,38.0662841796875,-125.7608642578125,-874.6666870117188,-56.72064208984375,-219.671630859375,0.4998970627784729,0.9995746612548828,5.017664432525635,2.5084948539733887,0.5,1.0,4.96523466,2.79069158,7.40632347,250,250,0,0.4972
v50,0.5,5.0,2.5,3,7.532000000000153,-858.9131469726562,-959.9833374023438,899.7578125,-73.1680908203125,-57.10723876953125,-701.8480224609375,219.4825439453125,-427.881103515625,0.4998819828033447,1.0013436079025269,4.987002849578857,2.495892286300659,0.578,1.0,4.77361757,2.72499052,9.74349186,289,289,0,0.5436
v55,0.55,5.0,2.5,1,8.016000000000076,-777.8180541992188,-780.581787109375,645.92919921875,-24.84967041015625,-3.34710693359375,-640.3262939453125,253.7620849609375,-210.0269775390625,0.5546063184738159,1.002323865890503,4.996372222900391,2.49763822555542,0.586,1.0,3.47025386,1.282476,5.40309987,293,293,0,0.586
v55,0.55,5.0,2.5,2,8.0,-858.6875610351562,-999.9828491210938,884.3880615234375,-86.1807861328125,-94.30426025390625,-756.1221923828125,-405.17498779296875,-263.71881103515625,0.5494529008865356,0.9960466623306274,4.985418796539307,2.509531259536743,0.53,1.0,4.82242108,1.67595954,7.64726703,265,265,0,0.5027
v55,0.55,5.0,2.5,3,8.358999999999924,-742.2347412109375,-791.3570556640625,415.598388671875,183.1871337890625,160.671142578125,-419.7037353515625,-802.6405029296875,-517.5989990234375,0.5516360998153687,0.9923888444900513,5.047418117523193,2.5060038566589355,0.848,1.0,5.33259543,2.95198064,11.4337321,424,424,0,0.9045
v60,0.6,5.0,2.5,1,8.125,-779.12841796875,-778.7720947265625,669.2061767578125,-18.61376953125,0.7718505859375,-632.7277221679688,249.186767578125,-205.38677978515625,0.6005340814590454,1.0028928518295288,4.990192890167236,2.5082125663757324,0.654,1.0,3.27735176,1.37931061,5.38123464,327,327,0,0.654
v60,0.6,5.0,2.5,2,7.811999999999898,-674.9857177734375,-739.8469848632812,858.609619140625,-154.54779052734375,-139.9111328125,-928.92529296875,-247.52783203125,4.58740234375,0.6010056734085083,1.001028060913086,5.019801139831543,2.481654405593872,0.654,1.0,4.42313744,1.98286192,7.91226406,327,327,0,0.6477
v60,0.6,5.0,2.5,3,8.891000000000076,-684.148681640625,-835.684326171875,498.2679443359375,141.781494140625,134.47265625,-459.4781494140625,-757.2720947265625,-532.4000244140625,0.6002122163772583,0.9952607154846191,4.999104976654053,2.507091999053955,0.854,1.0,5.87620552,3.39663981,12.3560248,427,427,0,0.8845
v65,0.65,4.5,2.0,1,8.047000000000025,-710.7348022460938,-729.34033203125,864.6119384765625,-143.280029296875,-146.11474609375,-918.8068237304688,-221.02825927734375,-18.07489013671875,0.6507092714309692,1.000497579574585,4.49789571762085,2.012817144393921,0.664,1.0,3.82818809,1.63024599,6.4030678,332,332,0,0.6633
v65,0.65,4.5,2.0,2,7.907000000000153,-801.9366455078125,-886.44482421875,752.882568359375,-12.64691162109375,28.7120361328125,-590.396484375,-233.0352783203125,-133.43267822265625,0.6505126953125,1.0015794038772583,4.49559211730957,1.98630690574646,0.638,1.0,4.2140714,1.65500384,6.82484724,319,319,0,0.6373
v65,0.65,4.5,2.0,3,7.344000000000051,-834.468505859375,-587.5498657226562,963.57421875,173.47314453125,293.771240234375,-335.0535888671875,-352.5118408203125,-178.8248291015625,0.6489741206169128,1.0065851211547852,4.446503639221191,2.0400867462158203,0.08,1.0,9.0604682,2.02890376,12.763583,40,40,0,0.08
v70,0.7,4.5,2.0,1,8.280999999999949,-731.6221313476562,-736.373291015625,855.5806884765625,-139.74322509765625,-145.96722412109375,-925.1641235351562,-187.0191650390625,-14.87481689453125,0.6995701193809509,1.0010476112365723,4.500995635986328,2.0023744106292725,0.694,1.0,3.80494146,1.64736887,6.52511247,347,347,0,0.6926
v70,0.7,4.5,2.0,2,7.890999999999622,-823.7678833007812,-976.4700317382812,825.4674072265625,-83.421875,-47.88671875,-750.0379638671875,-285.9561767578125,102.24560546875,0.6992383003234863,1.001250147819519,4.473527431488037,2.040748119354248,0.692,1.0,5.10144011,2.40249193,9.14127357,346,346,0,0.6654
